Book,Chapter,Verse,Citations
Alma,36,15,8
Alma,36,14,8
Doctrine and Covenants,84,43,8
3 Nephi,17,6,8
Luke,24,32,8
Matthew,25,45,8
Matthew,25,44,8
Moses,1,11,8
Matthew,25,43,8
Matthew,25,42,8
Matthew,25,41,8
Doctrine and Covenants,20,58,8
Doctrine and Covenants,20,56,8
John,8,29,8
John,8,10,8
Doctrine and Covenants,82,10,8
John,10,14,8
Doctrine and Covenants,1,22,8
John,11,25,8
Doctrine and Covenants,1,31,8
John,8,9,8
John,8,7,8
3 Nephi,17,23,8
Doctrine and Covenants,4,3,8
3 Nephi,17,11,8
3 Nephi,18,11,8
Moses,1,16,8
Doctrine and Covenants,20,52,8
Doctrine and Covenants,20,50,8
2 Kings,5,14,8
Matthew,25,46,8
Doctrine and Covenants,64,10,8
3 Nephi,17,24,8
Doctrine and Covenants,20,76,8
Doctrine and Covenants,20,73,8
Doctrine and Covenants,45,3,8
Moses,1,2,8
Alma,11,44,8
1 Corinthians,13,12,8
Doctrine and Covenants,138,59,8
Doctrine and Covenants,138,54,8
Doctrine and Covenants,138,53,8
John,1,1,8
Doctrine and Covenants,107,22,8
1 Corinthians,13,4,8
1 Corinthians,13,5,8
Doctrine and Covenants,76,95,8
Doctrine and Covenants,76,62,8
Matthew,7,12,8
Doctrine and Covenants,76,64,7
1 Corinthians,2,14,7
Doctrine and Covenants,76,82,7
John,21,15,7
Jacob,5,25,7
Jacob,5,26,7
Jacob,5,27,7
Jacob,5,28,7
Jacob,5,29,7
Jacob,5,30,7
Jacob,5,31,7
Doctrine and Covenants,138,30,7
Joseph Smith—History,1,29,7
Alma,56,47,7
Doctrine and Covenants,138,42,7
Joseph Smith—History,1,8,7
Alma,5,28,7
Jacob,5,36,7
Doctrine and Covenants,109,10,7
Doctrine and Covenants,109,9,7
Doctrine and Covenants,109,7,7
Doctrine and Covenants,109,6,7
Doctrine and Covenants,20,11,7
Hebrews,4,16,7
Matthew,7,23,7
Doctrine and Covenants,109,5,7
2 Nephi,28,20,7
Alma,41,4,7
John,11,35,7
Acts,17,29,7
Doctrine and Covenants,21,4,7
Doctrine and Covenants,1,4,7
Doctrine and Covenants,1,3,7
Doctrine and Covenants,1,2,7
Doctrine and Covenants,1,32,7
John,8,8,7
John,8,6,7
Luke,24,5,7
3 Nephi,17,12,7
3 Nephi,18,13,7
Doctrine and Covenants,20,49,7
Doctrine and Covenants,68,28,7
3 Nephi,17,18,7
Doctrine and Covenants,1,30,7
Ezekiel,36,26,7
Doctrine and Covenants,76,111,7
Doctrine and Covenants,76,12,7
James,1,27,7
Alma,7,7,7
Alma,7,23,7
Doctrine and Covenants,76,9,7
Doctrine and Covenants,76,8,7
Doctrine and Covenants,76,6,7
Doctrine and Covenants,84,40,7
3 Nephi,17,3,7
Alma,34,12,7
Luke,22,40,7
3 Nephi,18,19,7
Doctrine and Covenants,1,23,7
Luke,15,8,7
Mosiah,18,20,7
John,1,46,7
Doctrine and Covenants,93,1,7
Doctrine and Covenants,8,3,7
3 Nephi,12,44,7
Luke,24,29,7
Doctrine and Covenants,6,22,7
Alma,34,11,7
Moses,1,18,7
Moses,1,17,7
2 Kings,5,12,7
2 Kings,5,11,7
2 Kings,5,10,7
2 Kings,5,9,7
1 Nephi,4,7,7
3 Nephi,27,5,7
Doctrine and Covenants,109,79,7
